__time,/SCIT_drone/UAV_motion/angular/acc/x,/SCIT_drone/UAV_motion/angular/acc/y,/SCIT_drone/UAV_motion/angular/acc/z,/SCIT_drone/UAV_motion/angular/jerk/x,/SCIT_drone/UAV_motion/angular/jerk/y,/SCIT_drone/UAV_motion/angular/jerk/z,/SCIT_drone/UAV_motion/angular/q/w,/SCIT_drone/UAV_motion/angular/q/x,/SCIT_drone/UAV_motion/angular/q/y,/SCIT_drone/UAV_motion/angular/q/z,/SCIT_drone/UAV_motion/angular/vel/x,/SCIT_drone/UAV_motion/angular/vel/y,/SCIT_drone/UAV_motion/angular/vel/z,/SCIT_drone/UAV_motion/linear/acc/x,/SCIT_drone/UAV_motion/linear/acc/y,/SCIT_drone/UAV_motion/linear/acc/z,/SCIT_drone/UAV_motion/linear/jerk/x,/SCIT_drone/UAV_motion/linear/jerk/y,/SCIT_drone/UAV_motion/linear/jerk/z,/SCIT_drone/UAV_motion/linear/pos/x,/SCIT_drone/UAV_motion/linear/pos/y,/SCIT_drone/UAV_motion/linear/pos/z,/SCIT_drone/UAV_motion/linear/vel/x,/SCIT_drone/UAV_motion/linear/vel/y,/SCIT_drone/UAV_motion/linear/vel/z,/SCIT_drone/UAV_motion/timestamp,/SCIT_drone/UAV_motion_expect/angular/acc/x,/SCIT_drone/UAV_motion_expect/angular/acc/y,/SCIT_drone/UAV_motion_expect/angular/acc/z,/SCIT_drone/UAV_motion_expect/angular/jerk/x,/SCIT_drone/UAV_motion_expect/angular/jerk/y,/SCIT_drone/UAV_motion_expect/angular/jerk/z,/SCIT_drone/UAV_motion_expect/angular/q/w,/SCIT_drone/UAV_motion_expect/angular/q/x,/SCIT_drone/UAV_motion_expect/angular/q/y,/SCIT_drone/UAV_motion_expect/angular/q/z,/SCIT_drone/UAV_motion_expect/angular/vel/x,/SCIT_drone/UAV_motion_expect/angular/vel/y,/SCIT_drone/UAV_motion_expect/angular/vel/z,/SCIT_drone/UAV_motion_expect/linear/acc/x,/SCIT_drone/UAV_motion_expect/linear/acc/y,/SCIT_drone/UAV_motion_expect/linear/acc/z,/SCIT_drone/UAV_motion_expect/linear/jerk/x,/SCIT_drone/UAV_motion_expect/linear/jerk/y,/SCIT_drone/UAV_motion_expect/linear/jerk/z,/SCIT_drone/UAV_motion_expect/linear/pos/x,/SCIT_drone/UAV_motion_expect/linear/pos/y,/SCIT_drone/UAV_motion_expect/linear/pos/z,/SCIT_drone/UAV_motion_expect/linear/vel/x,/SCIT_drone/UAV_motion_expect/linear/vel/y,/SCIT_drone/UAV_motion_expect/linear/vel/z,/SCIT_drone/UAV_motion_expect/timestamp
1710832808.122431,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.353882612,-0.289348919,0.000000000,0.000000000,0.000000000,0.000000000,-0.992529389,0.122005789,2.000000000,-0.187888911,-1.528495221,0.000000000,0.000000000
1710832808.123869,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991027594,-0.042339321,-0.117076889,0.048627835,0.000000000,0.000000000,0.000000000,2.308905125,-0.340610743,-0.015529804,0.000000000,0.000000000,0.000000000,-0.996472955,0.184472218,2.074429035,-0.223998263,-1.617629170,-0.109743185,1710832808116955.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.142414,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.361677542,-0.216714871,0.000000000,0.000000000,0.000000000,0.000000000,-0.995816170,0.091379187,2.000000000,-0.140723944,-1.533556864,0.000000000,0.000000000
1710832808.143837,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991083443,-0.039352089,-0.117811501,0.048223678,0.000000000,0.000000000,0.000000000,2.257959917,-0.300347805,-0.014999881,0.000000000,0.000000000,0.000000000,-0.999238551,0.158981085,2.073953390,-0.187517539,-1.622597218,-0.109991953,1710832808133044.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.162438,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.367231183,-0.143884237,0.000000000,0.000000000,0.000000000,0.000000000,-0.998157898,0.060669692,2.000000000,-0.093431324,-1.537163124,0.000000000,0.000000000
1710832808.163883,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991166115,-0.034803461,-0.118808910,0.047570977,0.000000000,0.000000000,0.000000000,2.337059006,-0.180482864,0.013208017,0.000000000,0.000000000,0.000000000,-1.002339959,0.120562330,2.073078394,-0.131775126,-1.628230810,-0.109991513,1710832808157044.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.182503,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.370539371,-0.070917120,0.000000000,0.000000000,0.000000000,0.000000000,-0.999552816,0.029902649,2.000000000,-0.046050079,-1.539311298,0.000000000,0.000000000
1710832808.183976,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991216183,-0.031782404,-0.119403407,0.047150850,0.000000000,0.000000000,0.000000000,2.326997928,-0.097975135,0.040377490,0.000000000,0.000000000,0.000000000,-1.003347874,0.095373660,2.073308468,-0.094755426,-1.630430937,-0.109886929,1710832808173044.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.202417,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.371598968,0.002117265,0.000000000,0.000000000,0.000000000,0.000000000,-0.999999601,-0.000892758,2.000000000,0.001374848,-1.539999348,0.000000000,0.000000000
1710832808.203882,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991285741,-0.027158983,-0.120261267,0.046393543,0.000000000,0.000000000,0.000000000,2.371533308,0.010952353,0.045418739,0.000000000,0.000000000,0.000000000,-1.003304720,0.058209047,2.074761629,-0.038096119,-1.631275296,-0.108884834,1710832808197044.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.222381,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.370408682,0.075158685,0.000000000,0.000000000,0.000000000,0.000000000,-0.999497710,-0.031691132,2.000000000,0.048804342,-1.539226435,0.000000000,0.000000000
1710832808.223849,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991325855,-0.024039885,-0.120803401,0.045843273,0.000000000,0.000000000,0.000000000,2.354892898,0.018030405,0.044709072,0.000000000,0.000000000,0.000000000,-1.002585769,0.033348490,2.075550079,-0.000191398,-1.630887985,-0.108197868,1710832808213044.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.242452,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.366969937,0.148119766,0.000000000,0.000000000,0.000000000,0.000000000,-0.998047742,-0.062455630,2.000000000,0.096181667,-1.536993484,0.000000000,0.000000000
1710832808.243898,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991383910,-0.019319013,-0.121472664,0.045045406,0.000000000,0.000000000,0.000000000,2.343317494,0.137105584,0.082662329,0.000000000,0.000000000,0.000000000,-1.000473261,-0.004030320,2.076586246,0.056007352,-1.628286362,-0.106655531,1710832808237133.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.262418,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.361285986,0.220940346,0.000000000,0.000000000,0.000000000,0.000000000,-0.995651068,-0.093160885,2.000000000,0.143467759,-1.533302607,0.000000000,0.000000000
1710832808.263887,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991417468,-0.016187487,-0.121862628,0.044484388,0.000000000,0.000000000,0.000000000,2.318258397,0.189647079,0.028460287,0.000000000,0.000000000,0.000000000,-0.998380065,-0.028978702,2.077249289,0.093397222,-1.625555277,-0.106071316,1710832808253133.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.282410,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.353362222,0.293551352,0.000000000,0.000000000,0.000000000,0.000000000,-0.992309963,-0.123777772,2.000000000,0.190617764,-1.528157306,0.000000000,0.000000000
1710832808.283901,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991464734,-0.011461913,-0.122322865,0.043629415,0.000000000,0.000000000,0.000000000,2.321716398,0.294804573,0.038292259,0.000000000,0.000000000,0.000000000,-0.994205117,-0.066401623,2.078004837,0.149292827,-1.619372725,-0.105232775,1710832808277133.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.302437,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.343206161,0.365883908,0.000000000,0.000000000,0.000000000,0.000000000,-0.988027596,-0.154277248,2.000000000,0.237586956,-1.521562460,0.000000000,0.000000000
1710832808.303914,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991488338,-0.008321993,-0.122589089,0.043054603,0.000000000,0.000000000,0.000000000,2.310803160,0.328153372,0.016108155,0.000000000,0.000000000,0.000000000,-0.990731239,-0.091319554,2.078462362,0.186361477,-1.614034772,-0.104796380,1710832808293133.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.322312,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.330825765,0.437878294,0.000000000,0.000000000,0.000000000,0.000000000,-0.982807324,-0.184634133,2.000000000,0.284336558,-1.513523242,0.000000000,0.000000000
1710832808.323834,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991518795,-0.003690270,-0.122881539,0.042156171,0.000000000,0.000000000,0.000000000,2.300659195,0.450357795,-0.020201318,0.000000000,0.000000000,0.000000000,-0.984482288,-0.128611162,2.079063416,0.241722003,-1.604267597,-0.105065003,1710832808317133.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.342389,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.316235844,0.509448389,0.000000000,0.000000000,0.000000000,0.000000000,-0.976655393,-0.214812113,2.000000000,0.330810646,-1.504049267,0.000000000,0.000000000
1710832808.343859,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991532981,-0.000657781,-0.123012736,0.041590914,0.000000000,0.000000000,0.000000000,2.303313464,0.492483377,-0.037909485,0.000000000,0.000000000,0.000000000,-0.979623675,-0.153382048,2.079306364,0.278407454,-1.596520185,-0.105402656,1710832808333222.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.362408,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.299448842,0.580535243,0.000000000,0.000000000,0.000000000,0.000000000,-0.969577048,-0.244786332,2.000000000,0.376970941,-1.493148617,0.000000000,0.000000000
1710832808.363848,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991554439,0.003851322,-0.123071536,0.040722176,0.000000000,0.000000000,0.000000000,2.261713147,0.567704439,-0.024846755,0.000000000,0.000000000,0.000000000,-0.971305966,-0.190369576,2.079531431,0.333002299,-1.583181977,-0.105861083,1710832808357222.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.382406,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.280480683,0.651071426,0.000000000,0.000000000,0.000000000,0.000000000,-0.961579004,-0.274528356,2.000000000,0.422773658,-1.480831630,0.000000000,0.000000000
1710832808.383871,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991568446,0.006825247,-0.123017579,0.040151529,0.000000000,0.000000000,0.000000000,2.247072756,0.624075532,-0.050147995,0.000000000,0.000000000,0.000000000,-0.965082347,-0.214897648,2.079646587,0.368836373,-1.573539734,-0.106564134,1710832808373222.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.402370,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.259349358,0.720990031,0.000000000,0.000000000,0.000000000,0.000000000,-0.952668848,-0.304009975,2.000000000,0.468175351,-1.467109990,0.000000000,0.000000000
1710832808.403804,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991591871,0.011270627,-0.122786470,0.039270002,0.000000000,0.000000000,0.000000000,2.229444683,0.733405352,-0.082362443,0.000000000,0.000000000,0.000000000,-0.954734564,-0.251454502,2.079588652,0.422768712,-1.557016850,-0.107992150,1710832808397222.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.422413,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.236071897,0.790233266,0.000000000,0.000000000,0.000000000,0.000000000,-0.942853761,-0.333206820,2.000000000,0.513138491,-1.451994756,0.000000000,0.000000000
1710832808.423885,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991604209,0.014180025,-0.122572988,0.038678810,0.000000000,0.000000000,0.000000000,2.234235406,0.772118568,-0.023296103,0.000000000,0.000000000,0.000000000,-0.947159648,-0.275641948,2.079530478,0.458651364,-1.545094490,-0.108517863,1710832808413222.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.442393,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.210676146,0.858718302,0.000000000,0.000000000,0.000000000,0.000000000,-0.932145483,-0.362083966,2.000000000,0.557609293,-1.435504008,0.000000000,0.000000000
1710832808.443848,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991618037,0.018511504,-0.122163795,0.037776809,0.000000000,0.000000000,0.000000000,2.194877714,0.872746110,-0.053562224,0.000000000,0.000000000,0.000000000,-0.934786320,-0.311610222,2.079418898,0.511521220,-1.525115967,-0.109431453,1710832808437310.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710832808.462418,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.183183444,0.926388794,0.000000000,0.000000000,0.000000000,0.000000000,-0.920553012,-0.390617654,2.000000000,0.601551172,-1.417651604,0.000000000,0.000000000
1710832808.463902,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.991624057,0.021357244,-0.121834539,0.037174322,0.000000000,0.000000000,0.000000000,2.170130610,0.871822238,-0.059130602,0.000000000,0.000000000,0.000000000,-0.925872922,-0.335357875,2.079196692,0.546123564,-1.511297584,-0.110598050,1710832808453310.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
