__time,/SCIT_drone/UAV_motion/angular/acc/x,/SCIT_drone/UAV_motion/angular/acc/y,/SCIT_drone/UAV_motion/angular/acc/z,/SCIT_drone/UAV_motion/angular/jerk/x,/SCIT_drone/UAV_motion/angular/jerk/y,/SCIT_drone/UAV_motion/angular/jerk/z,/SCIT_drone/UAV_motion/angular/q/w,/SCIT_drone/UAV_motion/angular/q/x,/SCIT_drone/UAV_motion/angular/q/y,/SCIT_drone/UAV_motion/angular/q/z,/SCIT_drone/UAV_motion/angular/vel/x,/SCIT_drone/UAV_motion/angular/vel/y,/SCIT_drone/UAV_motion/angular/vel/z,/SCIT_drone/UAV_motion/linear/acc/x,/SCIT_drone/UAV_motion/linear/acc/y,/SCIT_drone/UAV_motion/linear/acc/z,/SCIT_drone/UAV_motion/linear/jerk/x,/SCIT_drone/UAV_motion/linear/jerk/y,/SCIT_drone/UAV_motion/linear/jerk/z,/SCIT_drone/UAV_motion/linear/pos/x,/SCIT_drone/UAV_motion/linear/pos/y,/SCIT_drone/UAV_motion/linear/pos/z,/SCIT_drone/UAV_motion/linear/vel/x,/SCIT_drone/UAV_motion/linear/vel/y,/SCIT_drone/UAV_motion/linear/vel/z,/SCIT_drone/UAV_motion/timestamp,/SCIT_drone/UAV_motion_expect/angular/acc/x,/SCIT_drone/UAV_motion_expect/angular/acc/y,/SCIT_drone/UAV_motion_expect/angular/acc/z,/SCIT_drone/UAV_motion_expect/angular/jerk/x,/SCIT_drone/UAV_motion_expect/angular/jerk/y,/SCIT_drone/UAV_motion_expect/angular/jerk/z,/SCIT_drone/UAV_motion_expect/angular/q/w,/SCIT_drone/UAV_motion_expect/angular/q/x,/SCIT_drone/UAV_motion_expect/angular/q/y,/SCIT_drone/UAV_motion_expect/angular/q/z,/SCIT_drone/UAV_motion_expect/angular/vel/x,/SCIT_drone/UAV_motion_expect/angular/vel/y,/SCIT_drone/UAV_motion_expect/angular/vel/z,/SCIT_drone/UAV_motion_expect/linear/acc/x,/SCIT_drone/UAV_motion_expect/linear/acc/y,/SCIT_drone/UAV_motion_expect/linear/acc/z,/SCIT_drone/UAV_motion_expect/linear/jerk/x,/SCIT_drone/UAV_motion_expect/linear/jerk/y,/SCIT_drone/UAV_motion_expect/linear/jerk/z,/SCIT_drone/UAV_motion_expect/linear/pos/x,/SCIT_drone/UAV_motion_expect/linear/pos/y,/SCIT_drone/UAV_motion_expect/linear/pos/z,/SCIT_drone/UAV_motion_expect/linear/vel/x,/SCIT_drone/UAV_motion_expect/linear/vel/y,/SCIT_drone/UAV_motion_expect/linear/vel/z,/SCIT_drone/UAV_motion_expect/timestamp
1710833060.650823,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.476104114,-1.856233495,0.000000000,0.000000000,0.000000000,0.000000000,-0.622408572,0.782692513,2.000000000,-1.205346440,-0.958509177,0.000000000,0.000000000
1710833060.654478,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.991177976,0.121682972,0.052332889,0.004563403,0.000000000,0.000000000,0.000000000,1.544430852,-1.962594688,-0.016168895,0.000000000,0.000000000,0.000000000,-0.629081964,0.813066840,2.009088516,-1.222173214,-0.960523546,0.000982460,1710833060645315.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710833060.670795,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.532552925,-1.809908196,0.000000000,0.000000000,0.000000000,0.000000000,-0.646210567,0.763159159,2.000000000,-1.175265076,-0.995164249,0.000000000,0.000000000
1710833060.674545,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.991214931,0.119598798,0.056330051,0.004012558,0.000000000,0.000000000,0.000000000,1.588106155,-1.874059439,0.003468238,0.000000000,0.000000000,0.000000000,-0.657999814,0.789436162,2.009234905,-1.184693694,-1.006329298,0.000981242,1710833060669315.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710833060.690798,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.587548743,-1.761866946,0.000000000,0.000000000,0.000000000,0.000000000,-0.669399899,0.742902265,2.000000000,-1.144069459,-1.030875820,0.000000000,0.000000000
1710833060.694493,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.991245627,0.118094146,0.058929183,0.003651039,0.000000000,0.000000000,0.000000000,1.624969692,-1.831657151,-0.030835899,0.000000000,0.000000000,0.000000000,-0.676775694,0.773086667,2.009352922,-1.158789039,-1.035928965,0.000435951,1710833060685396.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710833060.710805,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.641039426,-1.712155293,0.000000000,0.000000000,0.000000000,0.000000000,-0.691954582,0.721941034,2.000000000,-1.111789165,-1.065610030,0.000000000,0.000000000
1710833060.714456,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.991305530,0.115579948,0.062809259,0.003129154,0.000000000,0.000000000,0.000000000,1.725897193,-1.768127084,0.010206810,0.000000000,0.000000000,0.000000000,-0.704152822,0.747694314,2.009547949,-1.118313789,-1.078948498,0.000067824,1710833060709396.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710833060.730820,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.692974262,-1.660820368,0.000000000,0.000000000,0.000000000,0.000000000,-0.713853232,0.700295340,2.000000000,-1.078454797,-1.099333950,0.000000000,0.000000000
1710833060.734454,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.991336882,0.113921955,0.065309353,0.002798495,0.000000000,0.000000000,0.000000000,1.725986600,-1.670911908,-0.044953938,0.000000000,0.000000000,0.000000000,-0.721871018,0.730209112,2.009665966,-1.090601444,-1.106305599,-0.000137449,1710833060725396.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710833060.750815,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.743304011,-1.607910841,0.000000000,0.000000000,0.000000000,0.000000000,-0.735075086,0.677985706,2.000000000,-1.044097961,-1.132015605,0.000000000,0.000000000
1710833060.754503,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.991381109,0.111357749,0.068976589,0.002294871,0.000000000,0.000000000,0.000000000,1.799434423,-1.631647348,-0.047253368,0.000000000,0.000000000,0.000000000,-0.747607827,0.703176558,2.009806395,-1.047646761,-1.146390438,-0.000795474,1710833060749396.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710833060.770764,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.792004660,-1.553449531,0.000000000,0.000000000,0.000000000,0.000000000,-0.755610021,0.655021753,2.000000000,-1.008733474,-1.163639403,0.000000000,0.000000000
1710833060.774516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.991414905,0.109528176,0.071387529,0.001970301,0.000000000,0.000000000,0.000000000,1.839235425,-1.605406404,-0.036236233,0.000000000,0.000000000,0.000000000,-0.764189482,0.684638858,2.009873390,-1.018236160,-1.171805739,-0.001568194,1710833060765396.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710833060.790817,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.838981798,-1.497542017,0.000000000,0.000000000,0.000000000,0.000000000,-0.775418226,0.631447998,2.000000000,-0.972429893,-1.194144039,0.000000000,0.000000000
1710833060.794502,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.991462588,0.106715366,0.074909754,0.001513539,0.000000000,0.000000000,0.000000000,1.856204145,-1.549027430,-0.002025923,0.000000000,0.000000000,0.000000000,-0.787922502,0.656084955,2.010060310,-0.973368168,-1.209578991,-0.001652826,1710833060789477.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
1710833060.810814,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.884215422,-1.440214703,0.000000000,0.000000000,0.000000000,0.000000000,-0.794491268,0.607275576,2.000000000,-0.935204364,-1.223516522,0.000000000,0.000000000
1710833060.814476,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.991497159,0.104755498,0.077190496,0.001213985,0.000000000,0.000000000,0.000000000,1.906365156,-1.467436552,-0.008966133,0.000000000,0.000000000,0.000000000,-0.803065896,0.636555374,2.010185242,-0.942598760,-1.233574271,-0.001725609,1710833060805477.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
